params,mean_test_score,std_test_score,max_test_score,min_test_score,rank_test_score
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'adam'}",0.3294475180686766,0.011757219678131856,0.33647613435474366,0.30624263839811544,270
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100, 50), 'solver': 'sgd'}",0.332154921766604,0.0008052047980061202,0.33294048320565706,0.33117265763111375,269
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.3325082786570634,0.001718063053445338,0.33568904593639576,0.33117265763111375,268
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'sgd'}",0.3327438499173696,0.0016937901553804354,0.33568904593639576,0.3305833824395993,267
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 50, 20), 'solver': 'sgd'}",0.332744335774418,0.0014432535694714106,0.3352975839717148,0.33117265763111375,265
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': 50, 'solver': 'sgd'}",0.332744335774418,0.0014432535694714106,0.3352975839717148,0.33117265763111375,265
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 50), 'solver': 'sgd'}",0.33286184377197203,0.0015834506037470245,0.33568904593639576,0.33117265763111375,264
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 20, 10), 'solver': 'sgd'}",0.33286219081272084,0.0016554052175174199,0.33588685916322925,0.33117265763111375,262
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': 100, 'solver': 'sgd'}",0.33286219081272084,0.0013296915922301755,0.3352975839717148,0.33156654888103654,262
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 20, 20), 'solver': 'sgd'}",0.33297969881027495,0.0014712976789410116,0.33568904593639576,0.33156654888103654,258
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 10), 'solver': 'sgd'}",0.33297969881027495,0.0014712976789410116,0.33568904593639576,0.33156654888103654,258
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': 20, 'solver': 'sgd'}",0.33297969881027495,0.002061113380690985,0.33568904593639576,0.33117265763111375,258
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'sgd'}",0.33297969881027495,0.0014712976789410116,0.33568904593639576,0.33156654888103654,258
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': 20, 'solver': 'sgd'}",0.33297990703472424,0.0013228948011194932,0.3352975839717148,0.33117265763111375,257
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (20, 10), 'solver': 'sgd'}",0.33298004585102375,0.0015484462143493386,0.33588685916322925,0.33156654888103654,255
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (20, 20), 'solver': 'sgd'}",0.33298004585102375,0.0015484462143493386,0.33588685916322925,0.33156654888103654,255
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 50), 'solver': 'sgd'}",0.33298018466732326,0.0013907321308672593,0.3352975839717148,0.33156654888103654,254
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (10, 10), 'solver': 'sgd'}",0.33309741503227824,0.0014556862949770756,0.33568904593639576,0.33117265763111375,253
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 20), 'solver': 'sgd'}",0.3330975538485778,0.00139040871186662,0.33568904593639576,0.33156654888103654,252
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 20, 20), 'solver': 'sgd'}",0.3330977620730271,0.0015335937217555399,0.33588685916322925,0.33117265763111375,251
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.3330979008893266,0.0012131087754360273,0.3352975839717148,0.33156654888103654,250
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 20), 'solver': 'sgd'}",0.33309790088932667,0.00177155584372746,0.33647613435474366,0.33156654888103654,249
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 20, 20), 'solver': 'sgd'}",0.33321527007058116,0.0019504790752858108,0.33568904593639576,0.33117265763111375,248
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 20), 'solver': 'sgd'}",0.3333332639251836,0.0018629031337338297,0.33568904593639576,0.33117265763111375,246
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50, 20), 'solver': 'sgd'}",0.3333332639251836,0.0018629031337338297,0.33568904593639576,0.33117265763111375,246
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'solver': 'sgd'}",0.3333335415577826,0.0014107220628930932,0.33588685916322925,0.33156654888103654,245
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 50, 20), 'solver': 'sgd'}",0.33333361096593245,0.0019243522290231685,0.33588685916322925,0.33117265763111375,244
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 20, 'solver': 'sgd'}",0.33345098014718694,0.001974098659646675,0.33588685916322925,0.33117265763111375,243
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 20, 20), 'solver': 'sgd'}",0.33345111896348645,0.001997242437596143,0.33588685916322925,0.33117265763111375,242
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100, 50, 20), 'solver': 'sgd'}",0.33356883518548985,0.0016911560487728478,0.33568904593639576,0.33117265763111375,241
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (20, 20), 'solver': 'sgd'}",0.33356897400178936,0.0018728268204913213,0.33588685916322925,0.33156654888103654,240
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 20), 'solver': 'sgd'}",0.33356918222623866,0.0017585700700623074,0.33588685916322925,0.33117265763111375,238
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50, 50), 'solver': 'sgd'}",0.33356918222623866,0.0017585700700623074,0.33588685916322925,0.33117265763111375,238
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50), 'solver': 'sgd'}",0.3335693210425382,0.0017048904686276017,0.33588685916322925,0.33156654888103654,236
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50, 20), 'solver': 'sgd'}",0.3335693210425382,0.0019339183315796361,0.33588685916322925,0.33156654888103654,236
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 20, 10), 'solver': 'sgd'}",0.33356945985883774,0.0019575288234009725,0.33588685916322925,0.33156654888103654,235
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 20, 10), 'solver': 'sgd'}",0.33368669022379266,0.0018229238959286665,0.33588685916322925,0.33117265763111375,234
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': 100, 'solver': 'sgd'}",0.3336866902237927,0.0018229238959286665,0.33588685916322925,0.33117265763111375,233
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20, 20), 'solver': 'sgd'}",0.3336868290400922,0.00156288554357844,0.33568904593639576,0.33156654888103654,232
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50), 'solver': 'sgd'}",0.33368717608084103,0.0016355700030855048,0.33588685916322925,0.33156654888103654,230
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 50, 'solver': 'sgd'}",0.33368717608084103,0.0016355700030855048,0.33588685916322925,0.33156654888103654,230
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100, 20), 'solver': 'sgd'}",0.33380503111914395,0.0017635866416286533,0.33588685916322925,0.33156654888103654,229
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': 50, 'solver': 'sgd'}",0.3339224003003985,0.0012905938007419073,0.33568904593639576,0.3327444051825677,228
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 20), 'solver': 'sgd'}",0.3339224697085482,0.001837726026183005,0.33627797408716137,0.33156654888103654,227
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': 10, 'solver': 'sgd'}",0.33392253911669806,0.0020967778193143154,0.33588685916322925,0.33117265763111375,226
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 20), 'solver': 'adam'}",0.3340396306653534,0.008773897313874799,0.3486454652532391,0.3250883392226148,225
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': 100, 'solver': 'sgd'}",0.33404025533870135,0.001430152525865666,0.33588685916322925,0.3327444051825677,222
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': 20, 'solver': 'sgd'}",0.33404025533870135,0.001430152525865666,0.33588685916322925,0.3327444051825677,222
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 20), 'solver': 'sgd'}",0.33404025533870135,0.0014301525258656658,0.33588685916322925,0.3327444051825677,222
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (10, 10), 'solver': 'sgd'}",0.33404039415500086,0.002216990413246776,0.33647613435474366,0.33117265763111375,221
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50, 50), 'solver': 'sgd'}",0.33404088001204923,0.002031709230535646,0.33588685916322925,0.33156654888103654,220
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'solver': 'adam'}",0.3340412270527981,0.0052342808916740115,0.33942251031231585,0.3244994110718492,219
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (20, 10), 'solver': 'adam'}",0.334156999846608,0.0072053343612886326,0.34334511189634864,0.3211549793753683,218
